StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent_1,Consent_2,Consent_3,MTurkID,Sports_Filter,attention_check_1,attention_check_2_1,attention_check_2_2,Control_time_First Click,Control_time_Last Click,Control_time_Page Submit,Control_time_Click Count,Reduced_time_First Click,Reduced_time_Last Click,Reduced_time_Page Submit,Reduced_time_Click Count,Ranking_time_First Click,Ranking_time_Last Click,Ranking_time_Page Submit,Ranking_time_Click Count,Categorization_time_First Click,Categorization_time_Last Click,Categorization_time_Page Submit,Categorization_time_Click Count,Buffer_time_First Click,Buffer_time_Last Click,Buffer_time_Page Submit,Buffer_time_Click Count,Buffer_list,Count,Buffer_words_correct,Buffer_list_time_First Click,Buffer_list_time_Last Click,Buffer_list_time_Page Submit,Buffer_list_time_Click Count,Initial_Retention,Valued_Retention,Renewal Liklihood_1,Gender,Age,Race,Education,Bonus_Survey,Save MTurk,mturkcode,condition,label,reduced_list,ranking,categorization
2021-11-08 13:35:34,2021-11-08 13:35:34,Survey Test,,100,0,1,2021-11-08 13:35:34,R_bCUxbTAtxgEab42,,,,,40.4394989013671,-79.943000793457,test,,Yes,Yes,Yes,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208563,,,,,
2021-11-08 13:35:34,2021-11-08 13:35:34,Survey Test,,100,0,1,2021-11-08 13:35:34,R_1Nxk3gR0TyzTzHE,,,,,40.4394989013671,-79.943000793457,test,,No,Yes,Yes,,More than 10,Lion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124665,3,categorization,0,0,1
2021-11-08 13:35:34,2021-11-08 13:35:34,Survey Test,,100,0,1,2021-11-08 13:35:34,R_1UqxVo4kbnWFlTU,,,,,40.4394989013671,-79.943000793457,test,,No,No,Yes,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578469,,,,,
2021-11-08 13:35:34,2021-11-08 13:35:34,Survey Test,,100,0,1,2021-11-08 13:35:34,R_cAYo8y8tock0C9g,,,,,40.4394989013671,-79.943000793457,test,,Yes,No,No,,1-5,Ferret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89869,3,categorization,0,0,1
2021-11-08 13:35:35,2021-11-08 13:35:35,Survey Test,,100,0,1,2021-11-08 13:35:35,R_3xyRDbjUX3jlloa,,,,,40.4394989013671,-79.943000793457,test,,Yes,No,Yes,,More than 10,Bear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69172,1,reduced_list,1,0,0
2021-11-08 13:35:35,2021-11-08 13:35:35,Survey Test,,100,0,1,2021-11-08 13:35:35,R_3ksnJqDpR8NWZWm,,,,,40.4394989013671,-79.943000793457,test,,No,No,Yes,,5-10,Bear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830709,0,control,0,0,0
2021-11-08 13:35:35,2021-11-08 13:35:35,Survey Test,,100,0,1,2021-11-08 13:35:35,R_1SWkYhI75P7EhOC,,,,,40.4394989013671,-79.943000793457,test,,Yes,Yes,No,,5-10,Other,40,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49304,2,ranking,0,1,0
2021-11-08 13:35:35,2021-11-08 13:35:35,Survey Test,,100,0,1,2021-11-08 13:35:35,R_5jZeo6Z5bl3HKJ0,,,,,40.4394989013671,-79.943000793457,test,,No,Yes,No,,More than 10,Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316837,0,control,0,0,0
2021-11-08 13:35:35,2021-11-08 13:35:36,Survey Test,,100,1,1,2021-11-08 13:35:36,R_doIJHOOu2gnpVJA,,,,,40.4394989013671,-79.943000793457,test,,No,Yes,Yes,,More than 10,Bear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,718635,1,reduced_list,1,0,0
2021-11-08 13:35:36,2021-11-08 13:35:36,Survey Test,,100,0,1,2021-11-08 13:35:36,R_6td2lz2I7tlzwGi,,,,,40.4394989013671,-79.943000793457,test,,Yes,No,No,,More than 10,Ferret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,817871,2,ranking,0,1,0
2021-11-08 13:35:36,2021-11-08 13:35:36,Survey Test,,100,0,1,2021-11-08 13:35:36,R_eIG9s1lPIOphQ46,,,,,40.4394989013671,-79.943000793457,test,,No,No,Yes,,More than 10,Other,20,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421299,3,categorization,0,0,1
2021-11-08 13:35:36,2021-11-08 13:35:36,Survey Test,,100,0,1,2021-11-08 13:35:36,R_07h8DbxYtWbS8oC,,,,,40.4394989013671,-79.943000793457,test,,Yes,Yes,No,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,691632,,,,,
2021-11-08 13:35:36,2021-11-08 13:35:36,Survey Test,,100,0,1,2021-11-08 13:35:36,R_0pPkCj1zIwPPhUG,,,,,40.4394989013671,-79.943000793457,test,,Yes,No,Yes,,5-10,Lion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,851229,1,reduced_list,1,0,0
2021-11-08 13:35:36,2021-11-08 13:35:37,Survey Test,,100,1,1,2021-11-08 13:35:37,R_d0ulwjbSPvDpEge,,,,,40.4394989013671,-79.943000793457,test,,Yes,No,Yes,,More than 10,Other,50,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,836876,0,control,0,0,0
2021-11-08 13:35:37,2021-11-08 13:35:37,Survey Test,,100,0,1,2021-11-08 13:35:37,R_089hDTdtO8vj0nI,,,,,40.4394989013671,-79.943000793457,test,,Yes,No,Yes,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381228,,,,,
2021-11-08 13:35:37,2021-11-08 13:35:37,Survey Test,,100,0,1,2021-11-08 13:35:37,R_5mTZnV3TV5nwXYi,,,,,40.4394989013671,-79.943000793457,test,,No,Yes,No,,5-10,Ferret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,947235,2,ranking,0,1,0
2021-11-08 13:35:37,2021-11-08 13:35:37,Survey Test,,100,0,1,2021-11-08 13:35:37,R_81u7mPzh8IpRowe,,,,,40.4394989013671,-79.943000793457,test,,No,Yes,No,,5-10,Lion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115852,3,categorization,0,0,1
2021-11-08 13:35:37,2021-11-08 13:35:37,Survey Test,,100,0,1,2021-11-08 13:35:37,R_b8TZXAYFnGLYEqq,,,,,40.4394989013671,-79.943000793457,test,,Yes,No,No,,1-5,Lion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902507,1,reduced_list,1,0,0
2021-11-08 13:35:37,2021-11-08 13:35:37,Survey Test,,100,0,1,2021-11-08 13:35:37,R_bHL5T0cuEpKqML4,,,,,40.4394989013671,-79.943000793457,test,,No,Yes,Yes,,More than 10,Bear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317505,0,control,0,0,0
2021-11-08 13:35:37,2021-11-08 13:35:38,Survey Test,,100,1,1,2021-11-08 13:35:38,R_bjxjSi4vVW9wHKS,,,,,40.4394989013671,-79.943000793457,test,,Yes,Yes,No,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939843,,,,,
2021-11-08 13:35:38,2021-11-08 13:35:38,Survey Test,,100,0,1,2021-11-08 13:35:38,R_8AEW30lU9f7dMsC,,,,,40.4394989013671,-79.943000793457,test,,Yes,Yes,No,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488807,,,,,
2021-11-08 13:35:38,2021-11-08 13:35:38,Survey Test,,100,0,1,2021-11-08 13:35:38,R_eQeOPjgICDXnnWm,,,,,40.4394989013671,-79.943000793457,test,,No,Yes,No,,More than 10,Ferret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100523,2,ranking,0,1,0
2021-11-08 13:35:38,2021-11-08 13:35:38,Survey Test,,100,0,1,2021-11-08 13:35:38,R_ba3LvCVDxJa3qgC,,,,,40.4394989013671,-79.943000793457,test,,Yes,No,Yes,,5-10,Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275173,3,categorization,0,0,1
2021-11-08 13:35:38,2021-11-08 13:35:38,Survey Test,,100,0,1,2021-11-08 13:35:38,R_0IDgs120ARbq67c,,,,,40.4394989013671,-79.943000793457,test,,Yes,No,No,,More than 10,Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197635,1,reduced_list,1,0,0
2021-11-08 13:35:38,2021-11-08 13:35:38,Survey Test,,100,0,1,2021-11-08 13:35:38,R_cuXBDjXbBbotfwy,,,,,40.4394989013671,-79.943000793457,test,,No,No,No,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649410,,,,,
2021-11-08 13:35:38,2021-11-08 13:35:38,Survey Test,,100,0,1,2021-11-08 13:35:38,R_3ELzHBQcx2a3UUu,,,,,40.4394989013671,-79.943000793457,test,,No,Yes,No,,More than 10,Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,916326,2,ranking,0,1,0
2021-11-08 13:35:39,2021-11-08 13:35:39,Survey Test,,100,0,1,2021-11-08 13:35:39,R_bygBpjorpv4OxkG,,,,,40.4394989013671,-79.943000793457,test,,Yes,Yes,No,,5-10,Lion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665580,3,categorization,0,0,1
2021-11-08 13:35:39,2021-11-08 13:35:39,Survey Test,,100,0,1,2021-11-08 13:35:39,R_1B1rHd6eFYtxSnA,,,,,40.4394989013671,-79.943000793457,test,,No,No,Yes,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96090,,,,,
2021-11-08 13:35:39,2021-11-08 13:35:39,Survey Test,,100,0,1,2021-11-08 13:35:39,R_2tLnPtULQm8nr4G,,,,,40.4394989013671,-79.943000793457,test,,No,Yes,No,,1-5,Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620858,0,control,0,0,0
2021-11-08 13:35:39,2021-11-08 13:35:39,Survey Test,,100,0,1,2021-11-08 13:35:39,R_6mWT6ZnYH3lV8xg,,,,,40.4394989013671,-79.943000793457,test,,Yes,Yes,No,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255870,,,,,
2021-11-08 13:35:39,2021-11-08 13:35:39,Survey Test,,100,0,1,2021-11-08 13:35:39,R_41JGCaafl445k5U,,,,,40.4394989013671,-79.943000793457,test,,Yes,Yes,Yes,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768031,,,,,
2021-11-08 13:35:39,2021-11-08 13:35:39,Survey Test,,100,0,1,2021-11-08 13:35:39,R_8w80JovP1ojjqCy,,,,,40.4394989013671,-79.943000793457,test,,No,No,Yes,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791689,,,,,
2021-11-08 13:35:40,2021-11-08 13:35:40,Survey Test,,100,0,1,2021-11-08 13:35:40,R_1Y0DZKvZ8xMoocK,,,,,40.4394989013671,-79.943000793457,test,,No,No,No,,1-5,Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432711,2,ranking,0,1,0
2021-11-08 13:35:40,2021-11-08 13:35:40,Survey Test,,100,0,1,2021-11-08 13:35:40,R_29020FWsgz8pq5w,,,,,40.4394989013671,-79.943000793457,test,,Yes,No,Yes,,More than 10,Other,80,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748942,0,control,0,0,0
2021-11-08 13:35:40,2021-11-08 13:35:40,Survey Test,,100,0,1,2021-11-08 13:35:40,R_cTIYQiE0mzj6NOm,,,,,40.4394989013671,-79.943000793457,test,,No,Yes,No,,More than 10,Other,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,936209,3,categorization,0,0,1
2021-11-08 16:08:06,2021-11-08 16:08:41,Survey Preview,,100,34,1,2021-11-08 16:08:41,R_1gGRBRBUsKMOkR6,,,,,40.4725036621093,-79.9108963012695,preview,EN,Yes,Yes,Yes,,5-10,Other,70,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,908822,1,reduced_list,1,0,0
2021-11-08 16:09:00,2021-11-08 18:43:12,Survey Preview,,100,9252,1,2021-11-08 18:43:13,R_1gGEEev0l39BRWM,,,,,40.4725036621093,-79.9108963012695,preview,EN,Yes,Yes,Yes,,5-10,Other,70,50,0,0,5.8,0,,,,,,,,,,,,,0,0,60.009,0,test,1,0,4406.138,4406.138,4409.098,1,"4Ever Wild Rewards,Discounted Wild Merchandise,Complimentary Parking,Discounted Concessions",Discounted Concessions,67,Prefer not to say,88,White,Graduate Degree,I would like to answer this question,Yes,597464,0,control,0,0,0
2021-11-10 8:10:38,2021-11-10 8:10:59,IP Address,69.145.154.70,100,20,1,2021-11-10 8:11:01,R_1g0X4JcWblyTaGh,,,,,46.8522033691406,-114.02140045166,anonymous,EN,Yes,Yes,Yes,A2QXNIG0GVVXLG,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,724329,,,,,
2021-11-10 8:10:49,2021-11-10 8:11:08,IP Address,98.240.176.228,100,18,1,2021-11-10 8:11:09,R_1RXVOwBUXxVEbXb,,,,,45.0782012939453,-93.1893997192382,anonymous,EN,Yes,Yes,Yes,A1230L5QMQ9TSG,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,839322,,,,,
2021-11-10 8:11:01,2021-11-10 8:11:13,IP Address,70.44.180.30,100,11,1,2021-11-10 8:11:13,R_6mOJe7PlodldJsJ,,,,,41.5348968505859,-75.9471969604492,anonymous,EN,Yes,Yes,Yes,A1ACXKVOUQ19DX,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,544861,,,,,
2021-11-10 8:10:31,2021-11-10 8:11:24,IP Address,24.236.228.93,100,53,1,2021-11-10 8:11:25,R_2TFrmRErlP9ztre,,,,,43.0352020263671,-83.524803161621,anonymous,EN,Yes,Yes,Yes,A1PBFDQR599N3K,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,305215,,,,,
2021-11-10 8:11:06,2021-11-10 8:11:40,IP Address,172.58.157.46,100,34,1,2021-11-10 8:11:41,R_5BFhlOeaUWrIM2B,,,,,35.2425994873046,-80.7409973144531,anonymous,EN,Yes,Yes,Yes,A34EHWOYRBL6OZ,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,110247,,,,,
2021-11-10 8:12:10,2021-11-10 8:12:23,IP Address,173.242.139.13,100,13,1,2021-11-10 8:12:23,R_27qcSvJihVo4qOH,,,,,37.8594055175781,-86.0018997192382,anonymous,EN,Yes,Yes,Yes,A2B1YSMEHN1G2K,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,47071,,,,,
2021-11-10 8:12:26,2021-11-10 8:12:46,IP Address,173.170.129.98,100,20,1,2021-11-10 8:12:46,R_2SdesSxbU7OxbMD,,,,,27.9031982421875,-82.2910995483398,anonymous,EN,Yes,Yes,Yes,ARM4HX5L7UFWL,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,954365,,,,,
2021-11-10 8:12:47,2021-11-10 8:13:04,IP Address,12.229.72.84,100,16,1,2021-11-10 8:13:04,R_9mFOOmQvZqo3wVX,,,,,40.6105041503906,-85.9496994018554,anonymous,EN,Yes,Yes,Yes,AWDU600NXZ26L,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,659689,,,,,
2021-11-10 8:13:11,2021-11-10 8:13:33,IP Address,173.170.89.157,100,21,1,2021-11-10 8:13:33,R_1OlVgkgoNo4TQ4r,,,,,27.5429992675781,-82.560203552246,anonymous,EN,Yes,Yes,Yes,A1MKEILXWWLBW2,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,613563,,,,,
2021-11-10 8:13:29,2021-11-10 8:13:38,IP Address,73.173.103.253,100,9,1,2021-11-10 8:13:39,R_2qF4O8oRdNfZhcp,,,,,39.21240234375,-76.8776016235351,anonymous,EN,Yes,Yes,Yes,A272X64FOZFYLB,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,473969,,,,,
2021-11-10 8:13:31,2021-11-10 8:13:47,IP Address,98.192.156.105,100,15,1,2021-11-10 8:13:47,R_2f6zxNbeuE9VYB9,,,,,30.4804992675781,-84.2242965698242,anonymous,EN,Yes,Yes,Yes,A171UXH8M8F6HS,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,688542,,,,,
2021-11-10 8:11:50,2021-11-10 8:13:52,IP Address,174.215.215.255,100,122,1,2021-11-10 8:13:52,R_byzryd4x374CQG5,,,,,42.5941925048828,-76.1881027221679,anonymous,EN,Yes,Yes,Yes,AS4NIEQJWCG3M,1-5,Other,70,50,,,,,0,0,0.841,0,,,,,,,,,0.837,0.837,60.037,1,Lamp,1,1,0.831,0.831,3.802,1,Free Holiday Ornament,Free Holiday Ornament,53,Female,33,White,Bachelor's Degree,,,502023,1,reduced_list,1,0,0
2021-11-10 8:13:43,2021-11-10 8:13:55,IP Address,23.228.140.94,100,11,1,2021-11-10 8:13:55,R_2YRg9G4BIvpBeZo,,,,,39.0830993652343,-94.5852966308593,anonymous,EN,Yes,Yes,Yes,A29EL77Y1V21Q7,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,323458,,,,,
2021-11-10 8:12:56,2021-11-10 8:13:56,IP Address,107.126.122.199,100,59,1,2021-11-10 8:13:56,R_1fZOV5cvwXSBQnP,,,,,33.0498046875,-83.9394989013671,anonymous,EN,Yes,Yes,Yes,A2A9FMATFZABXC,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,306598,,,,,
2021-11-10 8:10:43,2021-11-10 8:13:58,IP Address,104.228.169.165,100,194,1,2021-11-10 8:13:58,R_12ScgxUNnuu0Aat,,,,,42.9766998291015,-78.7958984375,anonymous,EN,Yes,Yes,Yes,A2C4R0TBPZGWTD,1-5,Other,70,50,,,,,,,,,0,0,18.804,0,,,,,0,0,60.028,0,"deer
lamp",2,2,21.612,21.612,25.974,1,"Hockey Lodge Discount,Member Events,Playoff Access","Member Events,Playoff Access",51,Male,39,White,Bachelor's Degree,,,573209,2,ranking,0,1,0
2021-11-10 8:10:49,2021-11-10 8:14:04,IP Address,67.86.188.84,100,194,1,2021-11-10 8:14:04,R_3Kxuav2XXmIMmwc,,,,,40.1065063476562,-74.068603515625,anonymous,EN,Yes,Yes,Yes,AKSLU0C30G3JT,1-5,Other,70,50,4.107,4.107,5.401,1,,,,,,,,,,,,,0,0,60.131,0,"Deer, wander, tie, reform, lamp, hilarious, subway, map",8,8,1.287,1.287,25.322,1,Purchase Additional Tickets at a Discounted Rate,Purchase Additional Tickets at a Discounted Rate,60,Male,45,White,Bachelor's Degree,,,544072,0,control,0,0,0
2021-11-10 8:10:52,2021-11-10 8:14:10,IP Address,50.91.35.65,100,198,1,2021-11-10 8:14:11,R_9XjT3EeYYaA9I8p,,,,,35.3878021240234,-118.936004638671,anonymous,EN,Yes,Yes,Yes,ARQ7R97434PM2,5-10,Other,70,50,,,,,,,,,1.061,1.061,26.535,1,,,,,1.991,4.598,61.587,2,"Soap, listen, large, snuggle",3,3,0.644,0.644,9.681,1,"4Ever Wild Rewards,Discounted Wild Merchandise,Hockey Lodge Discount,Purchase Additional Tickets at a Discounted Rate,Member Events,Stadium Tours,Dedicated Account Manager,Playoff Access,Options to Purchase Suites Using flex credit,Ticket Trade- switch out games you can't attend,Complimentary Parking,Gameday Travel Package,Discounted Concessions,Early Entry on Game Days,Exclusive Conferences Calls with Players, Managers, and Front Office Executives,Access to all streamed NHL Games,Exclusive Restroom Access",Gameday Travel Package,82,Male,34,White,High School Diploma,,,856747,2,ranking,0,1,0
2021-11-10 8:14:11,2021-11-10 8:14:24,IP Address,24.73.13.115,100,13,1,2021-11-10 8:14:25,R_2vkrPsMK9prHvSL,,,,,28.3298950195312,-82.2850036621093,anonymous,EN,Yes,Yes,Yes,A1DT7XOW0ISK0K,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,883384,,,,,
2021-11-10 8:14:17,2021-11-10 8:14:27,IP Address,67.247.68.1,100,9,1,2021-11-10 8:14:27,R_3IPDHnGYz3vzdlV,,,,,43.0641937255859,-74.333999633789,anonymous,EN,Yes,Yes,Yes,A2NAKIXS3DVGAA,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,735484,,,,,
2021-11-10 8:14:31,2021-11-10 8:15:11,IP Address,108.34.144.35,100,40,1,2021-11-10 8:15:11,R_bdw1v1rFkxUL4kx,,,,,41.7816009521484,-71.3897018432617,anonymous,EN,Yes,Yes,Yes,AHWF0QIK9VTDS,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,662859,,,,,
2021-11-10 8:10:57,2021-11-10 8:15:18,IP Address,128.92.68.98,100,261,1,2021-11-10 8:15:19,R_2Cj01IkaoNVRDxv,,,,,34.8627014160156,-82.318603515625,anonymous,EN,Yes,Yes,Yes,A3191G66DZEGEB,1-5,Other,70,50,,,,,,,,,0,0,49.391,0,,,,,0,0,60.015,0,"Deer, Hilarious, Water, ",2,3,2.409,2.409,22.969,1,"4Ever Wild Rewards,Purchase Additional Tickets at a Discounted Rate,Member Events,Discounted Concessions,Early Entry on Game Days","4Ever Wild Rewards,Purchase Additional Tickets at a Discounted Rate,Member Events",80,Male,29,White,Bachelor's Degree,,,142611,2,ranking,0,1,0
2021-11-10 8:15:14,2021-11-10 8:15:34,IP Address,73.123.179.39,100,19,1,2021-11-10 8:15:34,R_dnVOcf0Obdc9d2F,,,,,42.4609069824218,-71.0074005126953,anonymous,EN,Yes,Yes,Yes,A5P12YJP805RG,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,378592,,,,,
2021-11-10 8:14:55,2021-11-10 8:15:45,IP Address,96.227.100.145,100,49,1,2021-11-10 8:15:45,R_9YTyYxAswTKIdeV,,,,,40.6027069091796,-75.477798461914,anonymous,EN,Yes,Yes,Yes,A1CVJIKV6XJ6G8,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,9792,,,,,
2021-11-10 8:10:54,2021-11-10 8:15:57,IP Address,47.19.145.93,100,302,1,2021-11-10 8:15:57,R_3DhKdeAnRvebUT8,,,,,41.0469970703125,-73.6223983764648,anonymous,EN,Yes,Yes,Yes,A2N9P0TY17HT1T,1-5,Other,70,50,,,,,2.278,10.778,65.724,2,,,,,,,,,0,0,60.022,0,"Listen
soak
deer
emphasis
hilarious
map
wander
reform
snuggle
tie

",10,10,0.776,45.066,51.435,2,"4Ever Wild Rewards,Purchase Additional Tickets at a Discounted Rate,Complimentary Parking,Early Entry on Game Days","4Ever Wild Rewards,Purchase Additional Tickets at a Discounted Rate,Complimentary Parking,Early Entry on Game Days",81,Female,28,White,Bachelor's Degree,,,835503,1,reduced_list,1,0,0
2021-11-10 8:12:17,2021-11-10 8:15:57,IP Address,141.149.56.40,100,219,1,2021-11-10 8:15:58,R_12LVjc6C4nAN1Ul,,,,,40.6940002441406,-73.9900970458984,anonymous,EN,Yes,Yes,Yes,A3FBIZSCV7SYO0,1-5,Other,70,50,,,,,0,0,16.419,0,,,,,,,,,0,0,60.115,0,Reform wander soak listen large emphasis snuggle,7,7,0.675,0.675,9.487,1,"Member Events,Stadium Tours,Ticket Trade- switch out games you can't attend,Complimentary Parking,Early Entry on Game Days","Ticket Trade- switch out games you can't attend,Complimentary Parking,Early Entry on Game Days",68,Female,24,White,Bachelor's Degree,,,863026,1,reduced_list,1,0,0
2021-11-10 8:15:45,2021-11-10 8:16:08,IP Address,73.189.147.24,100,23,1,2021-11-10 8:16:08,R_PZhQgbgEvN5vgSB,,,,,38.5462951660156,-122.804702758789,anonymous,EN,Yes,Yes,Yes,APRZ7BR8C0ZMQ,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,881298,,,,,
2021-11-10 8:10:33,2021-11-10 8:16:15,IP Address,68.1.244.140,100,342,1,2021-11-10 8:16:16,R_21oi4j6VEy06k3t,,,,,36.3170013427734,-94.1567993164062,anonymous,EN,Yes,Yes,Yes,AOP9WB55GYGL7,1-5,Other,70,50,,,,,,,,,,,,,0,0,47.3,0,0,0,60.009,0,"Deer , Reform , Emphasis, Large , Lamp , Map , Tie, snuggle, hilarious, ",9,9,0.645,0.645,32.528,1,"4Ever Wild Rewards,Discounted Wild Merchandise,Interest Free Payment Plans,Hockey Lodge Discount,Member Events,Playoff Access,Same Seat Guarantee","4Ever Wild Rewards,Interest Free Payment Plans,Member Events,Playoff Access",75,Male,32,White,High School Diploma,,,337953,3,categorization,0,0,1
2021-11-10 8:16:07,2021-11-10 8:16:32,IP Address,167.142.137.43,100,25,1,2021-11-10 8:16:33,R_r2OCI3645tE0Eb7,,,,,42.3594055175781,-93.0940017700195,anonymous,EN,Yes,Yes,Yes,A19ZDD83THLYRZ,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,75199,,,,,
2021-11-10 8:16:26,2021-11-10 8:16:37,IP Address,158.104.130.207,100,11,1,2021-11-10 8:16:38,R_Bs7lDl3UpmmcoeJ,,,,,44.9947052001953,-123.014701843261,anonymous,EN,Yes,Yes,Yes,A3IDG9C18BCATK,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,310032,,,,,
2021-11-10 8:13:00,2021-11-10 8:16:40,IP Address,108.235.207.185,100,220,1,2021-11-10 8:16:40,R_295NY8Wukz3liT1,,,,,35.2496948242187,-81.1369018554687,anonymous,EN,Yes,Yes,Yes,A3OUM5CQ337R0M,1-5,Other,70,50,,,,,,,,,,,,,0.537,0.537,12.161,1,0.831,35.935,60.177,2,"Subway, lamp, emphasis, map, deer, tie, ",6,6,1.24,1.24,18.492,1,"4Ever Wild Rewards,Discounted Wild Merchandise,Purchase Additional Tickets at a Discounted Rate,Discounted Concessions","4Ever Wild Rewards,Discounted Wild Merchandise,Purchase Additional Tickets at a Discounted Rate,Discounted Concessions",100,Male,30,White,High School Diploma,,,244685,3,categorization,0,0,1
2021-11-10 8:16:19,2021-11-10 8:16:41,IP Address,73.253.75.176,100,21,1,2021-11-10 8:16:41,R_1C3IJz9lhP49t6F,,,,,42.4566955566406,-71.3747024536132,anonymous,EN,Yes,Yes,Yes,AMTTB8JUWRRM7,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,551456,,,,,
2021-11-10 8:11:09,2021-11-10 8:16:43,IP Address,24.167.160.110,100,334,1,2021-11-10 8:16:44,R_1dH51x47p7k8Qfe,,,,,36.0321960449218,-79.8588027954101,anonymous,EN,Yes,Yes,Yes,A219VCQZADQ45W,1-5,Other,70,50,,,,,,,,,,,,,0,0,37.433,0,0,0,60.018,0,"LAMP, HILARIOUS, SUBWAY, WANDER, MAP,REFORM, DEER, SOAK,",8,8,1.29,1.29,58.273,1,"Member Events,Same Seat Guarantee,Early Entry on Game Days","Same Seat Guarantee,Early Entry on Game Days",72,Female,69,White,Bachelor's Degree,,,218566,3,categorization,0,0,1
